"","Rank","Name","Platform","Year","Genre","NA_Sales","Global_Sales"
"1",1,"Wii Sports","Wii",2006,"Sports",41.49,82.74
"2",2,"Super Mario Bros.","NES",1985,"Platform",29.08,40.24
"3",3,"Mario Kart Wii","Wii",2008,"Racing",15.85,35.82
"4",4,"Wii Sports Resort","Wii",2009,"Sports",15.75,33
"5",5,"Pokemon Red/Pokemon Blue","GB",1996,"Role-Playing",11.27,31.37
"6",6,"Tetris","GB",1989,"Puzzle",23.2,30.26
"7",7,"New Super Mario Bros.","DS",2006,"Platform",11.38,30.01
"8",8,"Wii Play","Wii",2006,"Misc",14.03,29.02
"9",9,"New Super Mario Bros. Wii","Wii",2009,"Platform",14.59,28.62
"10",10,"Duck Hunt","NES",1984,"Shooter",26.93,28.31
"11",11,"Nintendogs","DS",2005,"Simulation",9.07,24.76
"12",12,"Mario Kart DS","DS",2005,"Racing",9.81,23.42
"13",13,"Pokemon Gold/Pokemon Silver","GB",1999,"Role-Playing",9,23.1
"14",14,"Wii Fit","Wii",2007,"Sports",8.94,22.72
"15",15,"Wii Fit Plus","Wii",2009,"Sports",9.09,22
"16",16,"Kinect Adventures!","X360",2010,"Misc",14.97,21.82
"17",17,"Grand Theft Auto V","PS3",2013,"Action",7.01,21.4
"18",18,"Grand Theft Auto: San Andreas","PS2",2004,"Action",9.43,20.81
"19",19,"Super Mario World","SNES",1990,"Platform",12.78,20.61
"20",20,"Brain Age: Train Your Brain in Minutes a Day","DS",2005,"Misc",4.75,20.22
"21",21,"Pokemon Diamond/Pokemon Pearl","DS",2006,"Role-Playing",6.42,18.36
"22",22,"Super Mario Land","GB",1989,"Platform",10.83,18.14
"23",23,"Super Mario Bros. 3","NES",1988,"Platform",9.54,17.28
"24",24,"Grand Theft Auto V","X360",2013,"Action",9.63,16.38
"25",25,"Grand Theft Auto: Vice City","PS2",2002,"Action",8.41,16.15
"26",26,"Pokemon Ruby/Pokemon Sapphire","GBA",2002,"Role-Playing",6.06,15.85
"27",27,"Pokemon Black/Pokemon White","DS",2010,"Role-Playing",5.57,15.32
"28",28,"Brain Age 2: More Training in Minutes a Day","DS",2005,"Puzzle",3.44,15.3
"29",29,"Gran Turismo 3: A-Spec","PS2",2001,"Racing",6.85,14.98
"30",30,"Call of Duty: Modern Warfare 3","X360",2011,"Shooter",9.03,14.76
"31",31,"Pokémon Yellow: Special Pikachu Edition","GB",1998,"Role-Playing",5.89,14.64
"32",32,"Call of Duty: Black Ops","X360",2010,"Shooter",9.67,14.64
"33",33,"Pokemon X/Pokemon Y","3DS",2013,"Role-Playing",5.17,14.35
"34",34,"Call of Duty: Black Ops 3","PS4",2015,"Shooter",5.77,14.24
"35",35,"Call of Duty: Black Ops II","PS3",2012,"Shooter",4.99,14.03
"36",36,"Call of Duty: Black Ops II","X360",2012,"Shooter",8.25,13.73
"37",37,"Call of Duty: Modern Warfare 2","X360",2009,"Shooter",8.52,13.51
"38",38,"Call of Duty: Modern Warfare 3","PS3",2011,"Shooter",5.54,13.46
"39",39,"Grand Theft Auto III","PS2",2001,"Action",6.99,13.1
