X,Ozone,Solar.R,Wind
1,41,190,7.4
2,36,118,8
3,12,149,12.6
4,18,313,11.5
5,,,14.3
6,28,,14.9
7,23,299,8.6
8,19,99,13.8
9,8,19,20.1
10,,194,8.6
11,7,,6.9
12,16,256,9.7
13,11,290,9.2
14,14,274,10.9
15,18,65,13.2
16,14,334,11.5
17,34,307,12
18,6,78,18.4
19,30,322,11.5
20,11,44,9.7
21,1,8,9.7
22,11,320,16.6
23,4,25,9.7
24,32,92,12
25,,66,16.6
26,,266,14.9
27,,,8
28,23,13,12
29,45,252,14.9
30,115,223,5.7
31,37,279,7.4
32,,286,8.6
33,,287,9.7
34,,242,16.1
35,,186,9.2
36,,220,8.6
37,,264,14.3
38,29,127,9.7
39,,273,6.9
40,71,291,13.8
41,39,323,11.5
42,,259,10.9
43,,250,9.2
44,23,148,8
45,,332,13.8
46,,322,11.5
47,21,191,14.9
48,37,284,20.7
49,20,37,9.2
50,12,120,11.5
51,13,137,10.3
52,,150,6.3
53,,59,1.7
54,,91,4.6
55,,250,6.3
56,,135,8
57,,127,8
58,,47,10.3
59,,98,11.5
60,,31,14.9
61,,138,8
62,135,269,4.1
63,49,248,9.2
64,32,236,9.2
65,,101,10.9
66,64,175,4.6
67,40,314,10.9
68,77,276,5.1
69,97,267,6.3
70,97,272,5.7
71,85,175,7.4
72,,139,8.6
73,10,264,14.3
74,27,175,14.9
75,,291,14.9
76,7,48,14.3
77,48,260,6.9
78,35,274,10.3
79,61,285,6.3
80,79,187,5.1
81,63,220,11.5
82,16,7,6.9
83,,258,9.7
84,,295,11.5
85,80,294,8.6
86,108,223,8
87,20,81,8.6
88,52,82,12
89,82,213,7.4
90,50,275,7.4
91,64,253,7.4
92,59,254,9.2
93,39,83,6.9
94,9,24,13.8
95,16,77,7.4
96,78,,6.9
97,35,,7.4
98,66,,4.6
99,122,255,4
100,89,229,10.3
101,110,207,8
102,,222,8.6
103,,137,11.5
104,44,192,11.5
105,28,273,11.5
106,65,157,9.7
107,,64,11.5
108,22,71,10.3
109,59,51,6.3
110,23,115,7.4
111,31,244,10.9
112,44,190,10.3
113,21,259,15.5
114,9,36,14.3
115,,255,12.6
116,45,212,9.7
117,168,238,3.4
118,73,215,8
119,,153,5.7
120,76,203,9.7
121,118,225,2.3
122,84,237,6.3
123,85,188,6.3
124,96,167,6.9
125,78,197,5.1
126,73,183,2.8
127,91,189,4.6
128,47,95,7.4
129,32,92,15.5
130,20,252,10.9
131,23,220,10.3
132,21,230,10.9
133,24,259,9.7
134,44,236,14.9
135,21,259,15.5
136,28,238,6.3
137,9,24,10.9
138,13,112,11.5
139,46,237,6.9
140,18,224,13.8
141,13,27,10.3
142,24,238,10.3
143,16,201,8
144,13,238,12.6
145,23,14,9.2
146,36,139,10.3
147,7,49,10.3
148,14,20,16.6
149,30,193,6.9
150,,145,13.2
151,14,191,14.3
152,18,131,8
153,20,223,11.5
