X,Temp,Month,Day
1,67,5,1
2,72,5,2
3,74,5,3
4,62,5,4
5,56,5,5
6,66,5,6
7,65,5,7
8,59,5,8
9,61,5,9
10,69,5,10
11,74,5,11
12,69,5,12
13,66,5,13
14,68,5,14
15,58,5,15
16,64,5,16
17,66,5,17
18,57,5,18
19,68,5,19
20,62,5,20
21,59,5,21
22,73,5,22
23,61,5,23
24,61,5,24
25,57,5,25
26,58,5,26
27,57,5,27
28,67,5,28
29,81,5,29
30,79,5,30
31,76,5,31
32,78,6,1
33,74,6,2
34,67,6,3
35,84,6,4
36,85,6,5
37,79,6,6
38,82,6,7
39,87,6,8
40,90,6,9
41,87,6,10
42,93,6,11
43,92,6,12
44,82,6,13
45,80,6,14
46,79,6,15
47,77,6,16
48,72,6,17
49,65,6,18
50,73,6,19
51,76,6,20
52,77,6,21
53,76,6,22
54,76,6,23
55,76,6,24
56,75,6,25
57,78,6,26
58,73,6,27
59,80,6,28
60,77,6,29
61,83,6,30
62,84,7,1
63,85,7,2
64,81,7,3
65,84,7,4
66,83,7,5
67,83,7,6
68,88,7,7
69,92,7,8
70,92,7,9
71,89,7,10
72,82,7,11
73,73,7,12
74,81,7,13
75,91,7,14
76,80,7,15
77,81,7,16
78,82,7,17
79,84,7,18
80,87,7,19
81,85,7,20
82,74,7,21
83,81,7,22
84,82,7,23
85,86,7,24
86,85,7,25
87,82,7,26
88,86,7,27
89,88,7,28
90,86,7,29
91,83,7,30
92,81,7,31
93,81,8,1
94,81,8,2
95,82,8,3
96,86,8,4
97,85,8,5
98,87,8,6
99,89,8,7
100,90,8,8
101,90,8,9
102,92,8,10
103,86,8,11
104,86,8,12
105,82,8,13
106,80,8,14
107,79,8,15
108,77,8,16
109,79,8,17
110,76,8,18
111,78,8,19
112,78,8,20
113,77,8,21
114,72,8,22
115,75,8,23
116,79,8,24
117,81,8,25
118,86,8,26
119,88,8,27
120,97,8,28
121,94,8,29
122,96,8,30
123,94,8,31
124,91,9,1
125,92,9,2
126,93,9,3
127,93,9,4
128,87,9,5
129,84,9,6
130,80,9,7
131,78,9,8
132,75,9,9
133,73,9,10
134,81,9,11
135,76,9,12
136,77,9,13
137,71,9,14
138,71,9,15
139,78,9,16
140,67,9,17
141,76,9,18
142,68,9,19
143,82,9,20
144,64,9,21
145,71,9,22
146,81,9,23
147,69,9,24
148,63,9,25
149,70,9,26
150,77,9,27
151,75,9,28
152,76,9,29
153,68,9,30
