animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone
aardvark,1,0,0,1,0,0,1,1,1
antelope,1,0,0,1,0,0,0,1,1
bass,0,0,1,0,0,1,1,1,1
bear,1,0,0,1,0,0,1,1,1
boar,1,0,0,1,0,0,1,1,1
buffalo,1,0,0,1,0,0,0,1,1
calf,1,0,0,1,0,0,0,1,1
carp,0,0,1,0,0,1,0,1,1
catfish,0,0,1,0,0,1,1,1,1
cavy,1,0,0,1,0,0,0,1,1
cheetah,1,0,0,1,0,0,1,1,1
chicken,0,1,1,0,1,0,0,0,1
chub,0,0,1,0,0,1,1,1,1
clam,0,0,1,0,0,0,1,0,0
crab,0,0,1,0,0,1,1,0,0
crayfish,0,0,1,0,0,1,1,0,0
crow,0,1,1,0,1,0,1,0,1
deer,1,0,0,1,0,0,0,1,1
dogfish,0,0,1,0,0,1,1,1,1
dolphin,0,0,0,1,0,1,1,1,1
dove,0,1,1,0,1,0,0,0,1
duck,0,1,1,0,1,1,0,0,1
elephant,1,0,0,1,0,0,0,1,1
flamingo,0,1,1,0,1,0,0,0,1
flea,0,0,1,0,0,0,0,0,0
frog,0,0,1,0,0,1,1,1,1
frog,0,0,1,0,0,1,1,1,1
fruitbat,1,0,0,1,1,0,0,1,1
giraffe,1,0,0,1,0,0,0,1,1
girl,1,0,0,1,0,0,1,1,1
gnat,0,0,1,0,1,0,0,0,0
goat,1,0,0,1,0,0,0,1,1
gorilla,1,0,0,1,0,0,0,1,1
gull,0,1,1,0,1,1,1,0,1
haddock,0,0,1,0,0,1,0,1,1
hamster,1,0,0,1,0,0,0,1,1
hare,1,0,0,1,0,0,0,1,1
hawk,0,1,1,0,1,0,1,0,1
herring,0,0,1,0,0,1,1,1,1
honeybee,1,0,1,0,1,0,0,0,0
housefly,1,0,1,0,1,0,0,0,0
kiwi,0,1,1,0,0,0,1,0,1
ladybird,0,0,1,0,1,0,1,0,0
lark,0,1,1,0,1,0,0,0,1
leopard,1,0,0,1,0,0,1,1,1
lion,1,0,0,1,0,0,1,1,1
lobster,0,0,1,0,0,1,1,0,0
lynx,1,0,0,1,0,0,1,1,1
mink,1,0,0,1,0,1,1,1,1
mole,1,0,0,1,0,0,1,1,1
mongoose,1,0,0,1,0,0,1,1,1
moth,1,0,1,0,1,0,0,0,0
newt,0,0,1,0,0,1,1,1,1
octopus,0,0,1,0,0,1,1,0,0
opossum,1,0,0,1,0,0,1,1,1
oryx,1,0,0,1,0,0,0,1,1
ostrich,0,1,1,0,0,0,0,0,1
parakeet,0,1,1,0,1,0,0,0,1
penguin,0,1,1,0,0,1,1,0,1
pheasant,0,1,1,0,1,0,0,0,1
pike,0,0,1,0,0,1,1,1,1
piranha,0,0,1,0,0,1,1,1,1
platypus,1,0,1,1,0,1,1,0,1
polecat,1,0,0,1,0,0,1,1,1
pony,1,0,0,1,0,0,0,1,1
porpoise,0,0,0,1,0,1,1,1,1
puma,1,0,0,1,0,0,1,1,1
pussycat,1,0,0,1,0,0,1,1,1
raccoon,1,0,0,1,0,0,1,1,1
reindeer,1,0,0,1,0,0,0,1,1
rhea,0,1,1,0,0,0,1,0,1
scorpion,0,0,0,0,0,0,1,0,0
seahorse,0,0,1,0,0,1,0,1,1
seal,1,0,0,1,0,1,1,1,1
sealion,1,0,0,1,0,1,1,1,1
seawasp,0,0,1,0,0,1,1,0,0
skimmer,0,1,1,0,1,1,1,0,1
skua,0,1,1,0,1,1,1,0,1
slug,0,0,1,0,0,0,0,0,0
sole,0,0,1,0,0,1,0,1,1
sparrow,0,1,1,0,1,0,0,0,1
squirrel,1,0,0,1,0,0,0,1,1
starfish,0,0,1,0,0,1,1,0,0
stingray,0,0,1,0,0,1,1,1,1
swan,0,1,1,0,1,1,0,0,1
termite,0,0,1,0,0,0,0,0,0
toad,0,0,1,0,0,1,0,1,1
tuna,0,0,1,0,0,1,1,1,1
vampire,1,0,0,1,1,0,0,1,1
vole,1,0,0,1,0,0,0,1,1
vulture,0,1,1,0,1,0,1,0,1
wallaby,1,0,0,1,0,0,0,1,1
wasp,1,0,1,0,1,0,0,0,0
wolf,1,0,0,1,0,0,1,1,1
worm,0,0,1,0,0,0,0,0,0
wren,0,1,1,0,1,0,0,0,1
