animal_name,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
aardvark,1,0,0,4,0,0,1,Mammal
antelope,1,0,0,4,1,0,1,Mammal
bass,0,0,1,0,1,0,0,Fish
bear,1,0,0,4,0,0,1,Mammal
boar,1,0,0,4,1,0,1,Mammal
buffalo,1,0,0,4,1,0,1,Mammal
calf,1,0,0,4,1,1,1,Mammal
carp,0,0,1,0,1,1,0,Fish
catfish,0,0,1,0,1,0,0,Fish
cavy,1,0,0,4,0,1,0,Mammal
cheetah,1,0,0,4,1,0,1,Mammal
chicken,1,0,0,2,1,1,0,Bird
chub,0,0,1,0,1,0,0,Fish
clam,0,0,0,0,0,0,0,Invertebrate
crab,0,0,0,4,0,0,0,Invertebrate
crayfish,0,0,0,6,0,0,0,Invertebrate
crow,1,0,0,2,1,0,0,Bird
deer,1,0,0,4,1,0,1,Mammal
dogfish,0,0,1,0,1,0,1,Fish
dolphin,1,0,1,0,1,0,1,Mammal
dove,1,0,0,2,1,1,0,Bird
duck,1,0,0,2,1,0,0,Bird
elephant,1,0,0,4,1,0,1,Mammal
flamingo,1,0,0,2,1,0,1,Bird
flea,1,0,0,6,0,0,0,Bug
frog,1,0,0,4,0,0,0,Amphibian
frog,1,1,0,4,,0,0,Amphibian
fruitbat,1,0,0,2,1,0,0,Mammal
giraffe,1,0,0,,1,0,1,Mammal
girl,1,0,0,2,0,1,1,Mammal
gnat,1,0,0,6,0,0,0,Bug
goat,1,0,0,4,1,1,1,Mammal
gorilla,1,0,0,2,0,0,1,Mammal
gull,1,0,0,2,1,0,0,Bird
haddock,0,0,1,0,1,0,0,Fish
hamster,1,0,0,4,1,1,0,Mammal
hare,1,0,0,4,1,0,0,Mammal
hawk,1,0,0,2,1,0,0,Bird
herring,0,0,1,0,1,0,0,Fish
honeybee,1,1,0,6,0,1,0,Bug
housefly,1,0,0,,0,0,0,Bug
kiwi,1,0,0,2,1,0,0,Bird
ladybird,1,0,0,6,0,0,0,Bug
lark,1,0,0,2,1,0,0,Bird
leopard,1,0,0,4,1,0,1,Mammal
lion,1,0,0,4,1,0,1,Mammal
lobster,0,0,0,6,0,0,0,Invertebrate
lynx,1,0,0,4,1,0,1,Mammal
mink,1,0,0,4,1,0,1,Mammal
mole,1,0,0,4,1,0,0,Mammal
mongoose,1,0,0,4,1,0,1,Mammal
moth,1,0,0,6,0,0,0,Bug
newt,1,0,0,4,1,0,0,Amphibian
octopus,0,0,0,8,0,0,1,Invertebrate
opossum,1,0,0,4,1,0,0,Mammal
oryx,1,0,0,4,1,0,1,Mammal
ostrich,1,0,0,2,1,0,1,Bird
parakeet,1,0,0,2,,1,0,Bird
penguin,1,0,0,2,1,0,1,Bird
pheasant,1,0,0,2,1,0,0,Bird
pike,0,0,1,0,1,0,1,Fish
piranha,0,0,1,0,1,0,0,Fish
platypus,1,0,0,4,1,0,1,Mammal
polecat,1,0,0,4,1,0,1,Mammal
pony,1,0,0,4,1,1,1,Mammal
porpoise,1,0,1,0,1,0,1,Mammal
puma,1,0,0,4,1,0,1,Mammal
pussycat,1,0,0,4,1,1,1,Mammal
raccoon,1,0,0,4,1,0,1,Mammal
reindeer,1,0,0,4,1,1,1,Mammal
rhea,1,0,0,2,1,0,1,Bird
scorpion,1,1,0,8,1,0,0,Invertebrate
seahorse,0,0,1,0,1,0,0,Fish
seal,1,0,1,0,0,0,1,Mammal
sealion,1,0,1,2,1,0,1,Mammal
seawasp,0,1,0,0,0,0,0,Invertebrate
skimmer,1,0,0,2,1,0,0,Bird
skua,1,0,0,2,1,0,0,Bird
slug,1,0,0,0,0,0,0,Invertebrate
sole,0,0,1,0,1,0,0,Fish
sparrow,1,0,0,2,1,0,0,Bird
squirrel,1,0,0,2,1,0,0,Mammal
starfish,0,0,0,5,0,0,0,Invertebrate
stingray,0,1,1,0,1,0,1,Fish
swan,1,0,0,2,1,0,1,Bird
termite,1,0,,6,0,0,0,Bug
toad,1,0,0,4,0,0,0,Amphibian
tuna,0,0,1,0,1,0,1,Fish
vampire,1,0,0,2,1,0,0,Mammal
vole,1,0,0,4,1,0,0,Mammal
vulture,1,0,0,2,1,0,1,Bird
wallaby,1,0,0,2,1,0,1,Mammal
wasp,1,1,0,6,0,0,0,Bug
wolf,1,0,0,4,1,0,1,Mammal
worm,1,0,,0,0,0,0,Invertebrate
wren,1,0,0,2,1,0,0,Bird
